"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000819","sister chromatid segregation","136/5799","233/18860",0.583690987124464,1.89832937009267,9.19368822479776,1.73889753784221e-18,8.91175247215902e-15,5.58604955276829e-15,"TPX2/KIF2C/UBE2C/CENPF/AURKB/CDC20/CCNB1/KIF14/MAD2L1/TTK/BUB1/NDC80/NUSAP1/PRC1/SMC4/TRIP13/NCAPG/KIF4A/CDK1/DLGAP5/RACGAP1/BUB1B/CENPE/BIRC5/TOP2A/KIF18B/NUF2/KIF23/KIF11/MAPRE1/CDCA8/SPDL1/NEK2/FBXO5/SEH1L/MYBL2/KIF2A/ZWINT/RAN/KNSTRN/UHRF1/NCAPD2/SPAG5/SPC25/KNL1/ZWILCH/ACTL6A/CENPK/NCAPG2/SMC2/TACC3/KIF15/ZNF207/NUP62/ANKRD53/SMARCC1/MAD2L2/RAD21/PRP4K/WAPL/PSRC1/CHMP1B/ESPL1/RMI2/NIPBL/SMARCA5/HNRNPU/RHOA/BUB3/SKA3/SMARCA4/CCSAP/GEN1/TUBG1/KMT5A/MAD2L1BP/MAD1L1/SMC3/KNTC1/EML4/CDC6/BRD7/CDC23/NEK6/RMDN1/CDC27/PRICKLE1/SMC1A/NCAPD3/ANAPC5/ABRAXAS2/WRAP73/CHMP4B/STAG2/RIOK2/KIF22/SKA2/ATM/KPNB1/PPP2R1A/ANAPC4/RAB11A/APC/NUMA1/CHFR/MZT1/ARID1A/CHMP2B/RRS1/CHMP5/HSPA1B/HSPA1A/BECN1/POLDIP2/TPR/BCCIP/STAG1/NSMCE2/MISP/GOLGA2/CHAMP1/AKAP8L/MAP3K20/CDC16/DUSP1/ARID1B/TUBG2/CLASP2/SMARCA2/SMARCE1/DYNC1LI1/SMARCD3/ANAPC7/ARHGEF10/TEX14/MAP9",136
"GO:0007015","actin filament organization","233/5799","469/18860",0.49680170575693,1.61574067435346,8.99765345033189,3.66775906991616e-18,8.91175247215902e-15,5.58604955276829e-15,"KANK3/EVL/ARHGEF15/IQGAP3/EZR/CFL1/PREX1/ARF1/GMFB/ACTR3/RHOB/TGFB3/STMN1/ACTR2/HCLS1/BCL2/RAPGEF3/ARPC5L/GAS2L3/MIR21/RHOJ/GSN/CORO1C/ARPC5/TPM3/SPTAN1/DIAPH3/ARPC4/TAGLN2/TRIM27/MAD2L2/CXCL12/ABI1/PRKCI/BBS4/TMEFF2/CAPZB/RAC1/TTC8/PIK3R1/ELMO2/TPM2/HSP90B1/RUFY3/RHOA/CDC42/PFN1/SFRP1/RASA1/CYRIB/LMOD1/SORBS1/ARFGEF1/WASHC4/TWF1/CARMIL1/RDX/PAK2/DSTN/ARPC2/ARPC1A/SPTBN1/TPM4/HCK/SORBS3/WASH3P/WASH6P/WASHC1/LUZP1/BAIAP2L1/WDR1/FAM107A/MICAL2/DLC1/MYO6/NCK1/ARPC3/PPM1F/HAX1/FAM171A1/ENAH/TMOD3/PLEK/CAPZA2/ARF6/GRB2/PRKCD/DLG1/BLOC1S6/COTL1/RHOC/SLIT2/CORO1A/PIK3CA/SHTN1/PPFIA1/CX3CL1/CNN3/RGCC/SYNPO2/PHLDB2/ESAM/CNN1/RND1/MYO1B/SPIRE1/TJP1/ARRB1/ZEB2/AP1AR/ACTG1/CFL2/KANK2/IQGAP1/MARCKS/ARHGEF2/WASF2/CAP1/MYO1D/RHOH/SHANK3/MARCKSL1/RHOQ/TRIOBP/TNFAIP1/PLEC/CCL21/MET/F11R/MYO5C/LIMA1/WASHC5/CDC42EP3/SSH1/RHPN1/VASP/AVIL/TAC1/CAPZA1/ROCK1/SPATC1L/ARHGAP6/LCP1/CD47/SYNPO/PLEKHH2/CGNL1/EMP2/CALD1/KANK1/FLII/ARFIP1/SEMA5A/RND3/HIP1/PALM2AKAP2/NCKAP1L/LPAR1/BIN1/DMTN/CYRIA/ARPC1B/COBL/SNX9/ALDOA/SRC/AIF1L/CTTN/MYO19/PAK3/SH3KBP1/PAWR/CDC42EP2/PYCARD/NAA80/ABL1/GPR65/RAB40B/RHOU/WASHC2C/WASHC2A/CAP2/TTC17/WIPF3/MYO1G/MSRB2/PDLIM3/MYL9/PAK1/S100A10/CLASP2/TMOD1/MYO5A/NEBL/SPTBN2/KANK4/LIMCH1/TPM1/FERMT2/TMOD2/DSG3/RGS4/BRAF/CDC42EP5/ZBED3/TGFBR1/MIR20A/SHROOM2/RAC3/WIPF1/DAAM2/CCN2/PLS1/DIAPH2/JAK2/PPP1R9B/CAPG/CD2AP/FHDC1/MYO5B/TACR1/MSRB1/CYFIP2/NRP1/WASF3/WASL/ARHGEF10/ARHGAP18/PPP1R9A/KCTD13/RAC2/ITGB1BP1/ARHGEF5",233
"GO:0000070","mitotic sister chromatid segregation","117/5799","192/18860",0.609375,1.98186109674082,9.11170060063409,4.19837585057743e-18,8.91175247215902e-15,5.58604955276829e-15,"TPX2/KIF2C/UBE2C/CENPF/AURKB/CDC20/CCNB1/KIF14/MAD2L1/TTK/BUB1/NDC80/NUSAP1/PRC1/SMC4/TRIP13/NCAPG/KIF4A/CDK1/DLGAP5/RACGAP1/BUB1B/CENPE/BIRC5/KIF18B/NUF2/KIF23/KIF11/MAPRE1/CDCA8/SPDL1/NEK2/FBXO5/SEH1L/MYBL2/KIF2A/ZWINT/RAN/KNSTRN/UHRF1/NCAPD2/SPAG5/SPC25/KNL1/ZWILCH/CENPK/NCAPG2/SMC2/KIF15/ZNF207/NUP62/ANKRD53/MAD2L2/RAD21/PRP4K/WAPL/PSRC1/CHMP1B/ESPL1/NIPBL/SMARCA5/HNRNPU/RHOA/BUB3/SKA3/CCSAP/GEN1/TUBG1/KMT5A/MAD2L1BP/MAD1L1/SMC3/KNTC1/EML4/CDC23/RMDN1/PRICKLE1/SMC1A/NCAPD3/ANAPC5/ABRAXAS2/WRAP73/CHMP4B/STAG2/KIF22/SKA2/ATM/KPNB1/PPP2R1A/RAB11A/APC/NUMA1/MZT1/CHMP2B/RRS1/CHMP5/HSPA1B/HSPA1A/BECN1/POLDIP2/TPR/BCCIP/STAG1/NSMCE2/MISP/GOLGA2/CHAMP1/AKAP8L/CDC16/DUSP1/TUBG2/CLASP2/DYNC1LI1/ANAPC7/ARHGEF10/TEX14/MAP9",117
"GO:0010639","negative regulation of organelle organization","190/5799","367/18860",0.517711171662125,1.68374421409686,8.81395200942884,2.17622822962791e-17,3.46455534156764e-14,2.17164669651291e-14,"TPX2/KANK3/CENPF/AURKB/CDC20/CCNB1/MAD2L1/TTK/BUB1/NDC80/TRIP13/CHEK1/BUB1B/BIRC5/NUF2/MAPRE1/CFL1/CDCA8/SPDL1/GMFB/FBXO5/RAD1/CKAP2/STMN1/ZWINT/HNRNPC/MAPT/SPC25/KNL1/ZWILCH/MIR21/GSN/SPTAN1/ZNF207/DIAPH3/GDI2/TBC1D7/MAD2L2/RAD21/PRP4K/PPIF/BBS4/PARP1/TMEFF2/CAPZB/RAB7A/WAPL/IGF1/ESPL1/PIK3R1/SMARCA5/HNRNPU/BUB3/GHITM/SKA3/HNRNPA1/PFN1/CYRIB/LMOD1/PSMD10/GEN1/ARFGEF1/TWF1/MAD2L1BP/CARMIL1/SMAD4/MAD1L1/PHF23/USP10/KNTC1/RDX/PAK2/BBOF1/SPTBN1/MARCHF7/TFRC/LUZP1/DLC1/HGF/NUBP1/TMOD3/PPARG/CAPZA2/GNL3L/FKBP4/NAV3/PRKCD/ATM/PRELID1/XRN1/NME6/SLIT2/CORO1A/PIK3CA/PRRT2/PPFIA1/AKT1/ATRX/NPM1/PHLDB2/TBCD/APC/CIB1/TJP1/MID1/ACAA2/BCL2L1/KANK2/PINK1/ARHGEF2/WASF2/TAOK1/CCNF/RAD50/SHANK3/TBC1D30/GCLC/HSPA1A/TRIOBP/LMNA/BECN1/NBN/TBC1D4/TMEM14A/MET/F11R/TRIM32/LIMA1/TPR/CLU/SEC22B/SSH1/RHPN1/MAP4/AVIL/TRIM37/CAMSAP2/CAPZA1/SCFD1/ARHGAP6/TNKS2/PLEKHH2/CGNL1/CDH5/KANK1/FLII/LPAR1/DMTN/FNIP1/RPS6KA2/TOM1L1/SRC/HDGFL3/MPHOSPH9/SMG6/HUWE1/H3-3B/TERF2/CDK10/MAP2/ERCC1/RAB40B/WASHC2C/DUSP1/IFI6/IER3/TNKS/SLX1B/SLX1A/BNIP3/PML/CLASP2/TMOD1/SPTBN2/KANK4/USP9X/TMOD2/NOL3/CCDC88C/MIR20A/TMEM67/DYNC1LI1/BOK/OMA1/CAPG/CLIP3/TP53/NBDY/TEX14/MAP1B",190
"GO:0048193","Golgi vesicle transport","170/5799","319/18860",0.532915360501567,1.73319256752191,8.80023943063451,2.86501269379982e-17,3.64888016682346e-14,2.28718487050293e-14,"LAPTM5/RAB10/RABIF/YIF1B/TMED10/CNIH4/P4HB/ARL8B/ARF4/SEC24A/YKT6/RAB1A/SNAP23/KDELR1/SAR1B/COG5/YIPF5/STX6/KDELR2/TMED2/PRKCI/ARFGEF2/LYPLA1/EXOC5/COPZ1/SEC23B/COPA/YWHAE/SURF4/VAMP7/GOLT1B/INSIG1/RABEP1/ERGIC1/SNX1/RAB14/SEC23IP/NAPA/SEC16A/RAB26/ARFRP1/TMED5/YIPF6/SGSM2/VAMP3/TRAPPC3/COPB2/SPTBN1/RNF115/NRBP1/PPP6C/MACF1/TMED7/RAB31/MIA3/CSNK1D/RINT1/ERGIC2/LMF1/COPB1/LAMP1/RAB8A/TFG/TRAPPC11/SORL1/VPS51/NAPG/GOSR2/BICD2/KRT18/PREPL/COPE/KIF16B/RAB2A/BCAP29/GOLGA7/COG2/KDELR3/LLGL2/AKT1/SNX3/TRAPPC4/GGA2/SNX2/PDCD6/RAB11A/KLHL12/MYO1B/SPIRE1/EXOC6/DOP1B/SEC24D/AP1AR/COPG1/TRAPPC13/GOLGA5/RER1/CLN3/YIF1A/SAR1A/TRAPPC8/TMED4/ARF3/HYOU1/AP1G1/SCAMP3/RABGGTB/SEC31A/VAMP2/YIPF4/USO1/SEC22B/LYPLAL1/TRIP11/KIF1C/BET1/ERGIC3/VTI1B/PKDCC/SCFD1/VAPB/WIPI1/GOSR1/VCP/GOLPH3/CNST/ARFGAP3/SEC22C/LPAR1/ATP2C1/VPS41/SCAMP1/CUX1/ACSL3/TRAPPC1/COG3/GOLGA2/KIF13A/RAB6B/VPS13A/ANKFY1/VAMP4/EXOC2/GABARAPL2/IER3IP1/COG7/SYS1/SEC24B/BLTP3B/MYO5A/AP2A1/TMED3/CYTH3/NSF/EXOC4/RAB6A/TRAPPC2B/TRAPPC2/OPTN/RNF139/RAB3IP/RAB6C/RAB6D/PLPP3/GBF1/RAB7B/CCDC22/COG1/CTAGE9/PGAP1",170
"GO:0006913","nucleocytoplasmic transport","182/5799","350/18860",0.52,1.6911881358855,8.69710588747938,5.79756348668953e-17,5.00214230300465e-14,3.13543434491432e-14,"ECT2/ALYREF/CDK1/KPNA2/NEAT1/CFL1/MAGOH/ELAVL1/RANBP1/LEP/SRSF3/XPO5/NUP155/SEH1L/XBP1/NCBP1/HCLS1/RAN/NUTF2/RAPGEF3/CPSF6/NUP205/CRY2/ZPR1/NDC1/TXNIP/RANGAP1/NUP153/WNK1/NUP62/HNRNPA2B1/KPNA1/DDX39A/XPO1/SMG1/PRP4K/DESI1/KPNA4/CSE1L/PHAX/MAGOHB/NUP50/FYTTD1/CTDSPL2/HSPA9/HIKESHI/XPOT/CD36/RAE1/AGFG1/EIF4E/MCM3AP/PIK3R1/YWHAE/NUP98/DDX19A/GSK3B/INSIG1/RBM22/UHMK1/HNRNPA1/SUMO1/NEMF/SSB/KHDRBS1/TXN/AHCTF1/WASHC4/YWHAB/APOD/PSEN1/AKIRIN2/PCK1/TNPO1/IPO11/RBM8A/NCBP2/DHX9/RSRC1/HEATR3/ENY2/IPO9/IPO5/FBXO22/APPL1/NUP210/PRICKLE1/IPO7/NUP160/NUP58/CDK5/PRKAG1/NUP37/APPL2/RIOK2/BARD1/XPO7/PRKCD/UBR5/RITA1/MALT1/EIF6/KPNB1/PTPN11/HSP90AA1/KPNA3/AKT1/NPM1/UBE2I/CALR/RANBP2/SDAD1/PTPN14/ANP32A/PPM1A/IPO4/IWS1/NEDD4/THOC3/PCID2/SPG11/MAPK14/LSG1/TBK1/PPP1R10/MED1/STAT3/POM121/POM121C/SETD2/UFM1/ALKBH5/LMNA/DDX56/MX2/TPR/THOC5/FMR1/NMD3/TGFB1/TSC2/UPF1/STK4/PPP1R12A/CDH1/MBTPS1/RBM4/BAG3/ADAR/SARNP/SMG6/EIF4A3/AKAP8L/NUP107/IFI27/CITED1/SMG7/NUP85/IER3/INSIG2/PML/GAS6/NF1/BCL3/ANGPT1/SQSTM1/DMAP1/CASC3/RGPD5/RGPD8/RGPD6/SP100/SIX2/MAVS/JAK2/HSPA12A/ATXN1/IL33/CAMK1/MDM2/TP53/CDKN1A",182
"GO:0051169","nuclear transport","182/5799","350/18860",0.52,1.6911881358855,8.69710588747938,5.79756348668953e-17,5.00214230300465e-14,3.13543434491432e-14,"ECT2/ALYREF/CDK1/KPNA2/NEAT1/CFL1/MAGOH/ELAVL1/RANBP1/LEP/SRSF3/XPO5/NUP155/SEH1L/XBP1/NCBP1/HCLS1/RAN/NUTF2/RAPGEF3/CPSF6/NUP205/CRY2/ZPR1/NDC1/TXNIP/RANGAP1/NUP153/WNK1/NUP62/HNRNPA2B1/KPNA1/DDX39A/XPO1/SMG1/PRP4K/DESI1/KPNA4/CSE1L/PHAX/MAGOHB/NUP50/FYTTD1/CTDSPL2/HSPA9/HIKESHI/XPOT/CD36/RAE1/AGFG1/EIF4E/MCM3AP/PIK3R1/YWHAE/NUP98/DDX19A/GSK3B/INSIG1/RBM22/UHMK1/HNRNPA1/SUMO1/NEMF/SSB/KHDRBS1/TXN/AHCTF1/WASHC4/YWHAB/APOD/PSEN1/AKIRIN2/PCK1/TNPO1/IPO11/RBM8A/NCBP2/DHX9/RSRC1/HEATR3/ENY2/IPO9/IPO5/FBXO22/APPL1/NUP210/PRICKLE1/IPO7/NUP160/NUP58/CDK5/PRKAG1/NUP37/APPL2/RIOK2/BARD1/XPO7/PRKCD/UBR5/RITA1/MALT1/EIF6/KPNB1/PTPN11/HSP90AA1/KPNA3/AKT1/NPM1/UBE2I/CALR/RANBP2/SDAD1/PTPN14/ANP32A/PPM1A/IPO4/IWS1/NEDD4/THOC3/PCID2/SPG11/MAPK14/LSG1/TBK1/PPP1R10/MED1/STAT3/POM121/POM121C/SETD2/UFM1/ALKBH5/LMNA/DDX56/MX2/TPR/THOC5/FMR1/NMD3/TGFB1/TSC2/UPF1/STK4/PPP1R12A/CDH1/MBTPS1/RBM4/BAG3/ADAR/SARNP/SMG6/EIF4A3/AKAP8L/NUP107/IFI27/CITED1/SMG7/NUP85/IER3/INSIG2/PML/GAS6/NF1/BCL3/ANGPT1/SQSTM1/DMAP1/CASC3/RGPD5/RGPD8/RGPD6/SP100/SIX2/MAVS/JAK2/HSPA12A/ATXN1/IL33/CAMK1/MDM2/TP53/CDKN1A",182
"GO:0022411","cellular component disassembly","235/5799","483/18860",0.486542443064182,1.58237462945171,8.63945555417944,6.28409837060886e-17,5.00214230300465e-14,3.13543434491432e-14,"TPX2/KIF2C/C1QC/AURKB/RECK/CTSK/AURKA/GSPT1/CHEK1/CDK1/ATAD2/TOP2A/KIF18B/CFL1/C1QB/ACVR1C/PLXNC1/ATG5/TGFB3/CKAP2/KIF2A/MMP11/CKAP5/OGFOD1/STMN1/VTA1/ATP2A2/SET/VMP1/GSN/SPTAN1/DIAPH3/HSPA8/CX3CR1/WNK1/SMARCC1/TPSAB1/RNF14/UBQLN1/INSR/CAPZB/RAC1/EIF4E2/CHMP1B/PEX13/ABCE1/DENR/TREM2/PIK3R1/FAP/LRP1/TPGS2/NEMF/SMARCA4/LMOD1/NAPA/CCSAP/MELTF/MAP1LC3B/TWF1/MCTS1/CARMIL1/PHF23/USP10/ASCC3/PNPLA2/RDX/BBOF1/DSTN/USP21/SPTBN1/SSRP1/DICER1/NEK6/TRNT1/ZMPSTE24/WASHC1/PRICKLE1/WDR1/ATG12/MICAL2/PPP1CA/MMP9/ELP6/BAX/CTSS/CHMP4B/NEMP1/SKIC3/TMOD3/PLEK/CAPZA2/ARF6/NAV3/MMP1/ITGB1/PEX2/PIK3CA/CX3CL1/SNX14/EIF5A/DNASE2/ITGAM/SCAF4/GTPBP2/APC/CIB1/SUPT16H/MAP1A/CLTC/ADAMTS5/IGF1R/ADAM10/MID1/CFL2/GIGYF2/CALM1/NME1/ARID1A/ARHGEF2/CLN3/LPIN1/COL6A1/PPP1R10/JMJD4/TAOK1/CHMP2B/KIF5B/STAT3/APEH/CIDEA/CHMP5/TRIOBP/PIK3R4/PAFAH1B1/NES/BECN1/AFG2B/MFSD8/SETX/HBS1L/LIMA1/ATR/SAYSD1/ENG/MAP4/MRRF/AVIL/TGFB1/BLCAP/UPF1/CAMSAP2/GFM2/CAPZA1/LCP1/PLEKHH2/HPN/RNF7/FLII/SEMA5A/FGFR4/VCP/SKIC8/LAMP2/DDIT4/DMTN/PLAAT3/SMAD7/FAF2/GOLGA2/HDGFL3/MRPL58/VAMP8/AKAP8L/TSG101/PELO/PTRH1/KIF21A/DDR2/MMP14/TIMP3/MMP3/MMP7/GABARAPL2/GABARAPL3/GABARAPL1/RCHY1/RHOU/WASHC2C/SNAP29/PEX12/SNAPIN/KLK5/KLK7/BNIP3/PRKAA1/ADAM8/KLHDC10/CLASP2/TMOD1/SPTBN2/NSF/CTSG/FLOT1/C3/TMOD2/SMARCE1/CCDC88C/TGFBR1/MIR92A1/MAPRE2/DDR1/UFL1/GBF1/ASPH/RUBCN/PRKCA/KLC1/ADRB2/SMARCD3/GCN1/BOK/CHKA/PPP1R9B/DNASE1L3/MMP13/IRAK3/CAPG/SYNJ1/STON1/LIX1L/EPG5/GPER1/RAC2/MAP1B",235
"GO:0140014","mitotic nuclear division","152/5799","281/18860",0.540925266903915,1.75924306497807,8.5441821079953,2.44079833467938e-16,1.7040312666813e-13,1.06811798519828e-13,"TPX2/KIF2C/UBE2S/UBE2C/CENPF/AURKB/CDC20/CCNB1/ANLN/KIF14/MAD2L1/TTK/BUB1/NDC80/AURKA/NUSAP1/PRC1/SMC4/TRIP13/NCAPG/KIF4A/MKI67/CHEK1/CDK1/DLGAP5/RACGAP1/BUB1B/CENPE/BIRC5/KIF18B/NUF2/KIF23/KIF11/MAPRE1/CDCA8/RANBP1/SPDL1/NEK2/FBXO5/SEH1L/MYBL2/KIF2A/ZWINT/RAN/KNSTRN/UHRF1/NCAPD2/SPAG5/SPC25/KNL1/ZWILCH/PKMYT1/CENPK/NCAPG2/SMC2/KIF15/ZNF207/NDE1/NUP62/ANKRD53/MAD2L2/RAD21/PRP4K/INSR/WAPL/PSRC1/IGF2/IGF1/CHMP1B/ESPL1/NIPBL/SMARCA5/BORA/HNRNPU/RHOA/BUB3/SKA3/CDC42/CCDC8/CCSAP/GEN1/TUBG1/KMT5A/MAD2L1BP/MAD1L1/SMC3/PRMT5/KNTC1/EML4/CDC23/RMDN1/NSFL1C/PRICKLE1/SMC1A/NCAPD3/ANAPC5/ABRAXAS2/WRAP73/CHMP4B/STAG2/CDKN1C/KIF22/SKA2/BANF1/ATM/NME6/KPNB1/CAV2/RGCC/NFIA/UBE2I/PPP2R1A/RAB11A/CEP85/APC/NUMA1/MZT1/CHMP2B/RRS1/CHMP5/HSPA1B/HSPA1A/NFIB/BECN1/POLDIP2/TPR/BCCIP/TGFB1/BROX/USP16/EDN3/STAG1/NSMCE2/MISP/TOM1L1/GOLGA2/CHAMP1/AKAP8L/CDC16/DUSP1/CDC14B/TUBG2/CLASP2/DAPK3/EGF/DYNC1LI1/PPP1R9B/EDN1/ANAPC7/ARHGEF10/TEX14/MAP9",152
"GO:0031589","cell-substrate adhesion","188/5799","369/18860",0.509485094850949,1.65699066888927,8.49258407674009,2.6759284966729e-16,1.7040312666813e-13,1.06811798519828e-13,"VWF/POSTN/KIF14/PECAM1/COL3A1/TNXB/COL1A1/AGR2/CFL1/PREX1/CD34/P4HB/BCL2/RAB1A/ITGA7/CORO1C/ITGB2/PARVA/JAM3/GPM6B/RAC1/LEF1/FN1/FZD4/CD36/TNFRSF12A/PIK3R1/GSK3B/RHOA/THY1/CRK/CDH11/C1QBP/LIMS2/NID2/CDC42/SFRP1/RASA1/SORBS1/MELTF/COL16A1/APOD/CARMIL1/NPNT/EFEMP2/ARPC2/LYVE1/VAMP3/MACF1/ACVRL1/CCDC80/PTK2/SORBS3/FAM107A/DLC1/ANKRD28/TRPM7/BCL6/CDK5/MKLN1/ATXN3/PPM1F/ITGBL1/PIP5K1A/SVEP1/ITGB1/CORO1A/LIMS1/PPFIA1/CX3CL1/ITGA1/GREM1/COL8A1/CALR/VEGFA/ITGAM/PHLDB2/TBCD/ECM2/HOXA7/CIB1/RSU1/NTN4/PLAU/TYRO3/BCL2L11/TNN/AP1AR/ACTG1/ADAMTS12/CEACAM6/FBLN1/FREM1/PTEN/GFUS/TRIOBP/POLDIP2/CCL21/ITGB8/CD44/CDK6/GCNT2/GBP1/TTYH1/ROCK1/CCL28/SPRY4/ARHGAP6/STK4/EMP2/RNF7/KANK1/ABI3BP/THBS1/EPHB3/ITGA9/DAG1/TAOK2/ITGA11/DMTN/PTPRJ/FZD7/SRC/FAT2/CTTN/MINK1/SKAP1/SLK/SERPINE1/CCN1/MMP14/ABL1/WASHC2C/DAB2/SIGLEC1/MYO1G/EPB41L5/CASK/TIAM1/EPHB1/ADAM9/RAB40C/EGFLAM/EFNA5/SPOCK1/S100A10/CLASP2/ADAMTS9/GAS6/ITGB6/CRKL/SRCIN1/PTPN1/LPXN/DAPK3/LIMCH1/NF1/FBLN5/COL5A3/ANGPT1/FERMT2/DUSP22/BRAF/MDK/MIR92A1/FBLN2/DDR1/RAC3/PLPP3/SRGAP2/CCN2/CAMSAP3/JAK2/STON1/ITGAL/PLEKHA2/OLFM4/ANTXR1/VIT/NRP1/LYPD3/RAC2/ITGB1BP1/ITGA6/ITGA4/EPHA3/ITGB4/ITGA10",188
"GO:1902903","regulation of supramolecular fiber organization","198/5799","395/18860",0.50126582278481,1.63025925465106,8.43511083062512,3.8565978095336e-16,2.23261953191909e-13,1.39944678409104e-13,"TPX2/KANK3/AURKB/EVL/ARHGEF15/MAPRE1/CFL1/PREX1/ARF1/GMFB/TGFB3/CKAP2/CKAP5/STMN1/HCLS1/RAPGEF3/ARPC5L/MAPT/MIR21/GSN/ARPC5/SPTAN1/DIAPH3/HSPA8/ANKRD53/TRIM27/PPP2CA/CXCL12/BBS4/TMEFF2/CAPZB/RAC1/PFDN6/PSRC1/TREM2/TTC8/PIK3R1/RHOA/CDC42/PFN1/SFRP1/RASA1/CYRIB/LMOD1/ARFGEF1/APOE/WASHC4/TWF1/PSEN1/CARMIL1/SMAD4/RDX/PAK2/BBOF1/DSTN/ARPC2/VBP1/SPTBN1/HCK/SORBS3/WASH3P/WASH6P/WASHC1/BAIAP2L1/WDR1/DLC1/NCK1/ARPC3/PPM1F/LDLR/HAX1/TMOD3/PLEK/CAPZA2/ARF6/FKBP4/NAV3/GRB2/PRKCD/DLG1/COTL1/SLAIN2/RHOC/SLIT2/CORO1A/PIK3CA/PPFIA1/CX3CL1/RGCC/SYNPO2/PHLDB2/ESAM/TBCD/APC/CIB1/TJP1/HAUS1/NUMA1/MAP1A/AP1AR/MID1/ACTG1/CFL2/KANK2/HAUS7/CAMSAP1/ARHGEF2/WASF2/CRYAB/TAOK1/SHANK3/HSPA1B/HSPA1A/TRIOBP/CCL21/MET/F11R/AKAP13/LIMA1/WASHC5/CDC42EP3/CLU/PDE4DIP/SSH1/RHPN1/VASP/AVIL/CLIP1/CAMSAP2/TAC1/CAPZA1/ROCK1/ARHGAP6/CD47/SYNPO/PLEKHH2/CGNL1/OCLN/CDH5/KANK1/FLII/ARFIP1/PRUNE1/SEMA5A/NCKAP1L/LPAR1/BIN1/DMTN/CYRIA/SNX9/CTTN/HDGFL3/PAK3/CDC42EP2/KIF21A/ANKRD23/PYCARD/NAA80/ABL1/GPR65/NME7/MAP2/RAB40B/WASHC2C/WASHC2A/PAK1/S100A10/CLASP2/TMOD1/SPTBN2/KANK4/DAPK3/LIMCH1/TPM1/FERMT2/TMOD2/RGS4/BRAF/CDC42EP5/CCDC88C/TGFBR1/MIR20A/DAAM2/CCN2/CAMSAP3/APP/CAPG/EDN1/CLIP3/TACR1/CYFIP2/NRP1/WASF3/ARHGEF10/ARHGAP18/ITGB1BP1/MAP1B/ARHGEF5",198
"GO:0007059","chromosome segregation","212/5799","434/18860",0.488479262672811,1.58867371857376,8.26707063561561,1.24916432906813e-15,6.62889870625489e-13,4.15511503142663e-13,"TPX2/KIF2C/UBE2C/CENPF/AURKB/ASPM/FAM83D/CDC20/CCNB1/CCNB2/KIF14/MAD2L1/TTK/BUB1/NDC80/AURKA/NUSAP1/PTTG1/PRC1/HJURP/ECT2/SMC4/TRIP13/NCAPG/KIF4A/MKI67/CDK1/DLGAP5/RACGAP1/BUB1B/CENPE/BIRC5/TOP2A/KIF18B/NUF2/KIF23/KIF11/MAPRE1/CENPN/CDCA8/SPDL1/NEK2/CENPW/SMC6/ACTR3/CENPL/FBXO5/CENPU/STIL/SEH1L/MYBL2/OIP5/MND1/KIF2A/ARL8B/ACTR2/ZWINT/RAN/KNSTRN/GPSM2/UHRF1/NCAPD2/SPAG5/SPC25/KNL1/ZWILCH/RIOK3/ACTL6A/SRPK1/CENPK/NCAPG2/SMC2/CCNE1/NTMT1/TACC3/KIF15/NDC1/ZNF207/DIAPH3/NDE1/NUP62/SGO2/DCAF13/CENPM/CSNK2A1/ANKRD53/SMARCC1/MAD2L2/RAD21/CCNE2/PRP4K/WAPL/PSRC1/DDX3X/TUBB/CHMP1B/ESPL1/RMI2/MIS18A/NIPBL/SMARCA5/HNRNPU/RHOA/TTL/BUB3/SKA3/FIRRM/FANCD2/CDC42/PPP2R2A/SMARCA4/TUBGCP4/CCSAP/GEN1/TUBG1/KMT5A/PPP2R1B/BRIP1/MAD2L1BP/MAD1L1/CIAO2A/SMC3/KNTC1/EML4/CDC6/BRD7/TLK2/CDC23/NEK6/UBE2B/DSN1/RMDN1/CDC27/CCNB1IP1/PRICKLE1/SMC1A/NCAPD3/TOP1/CSNK1D/ANAPC5/ABRAXAS2/SUN1/WRAP73/CHMP4B/STAG2/NUP37/RIOK2/KIF22/SKA2/ATM/CENPS/KPNB1/PUM1/UBE2I/NR3C1/PPP2R1A/ANAPC4/RAB11A/CEP85/GTF2B/APC/HAUS1/NUMA1/BEX4/CCDC69/DYNC1H1/CHFR/HAUS7/MZT1/ARID1A/CHMP2B/RRS1/CHMP5/PTEN/HSPA1B/HSPA1A/PLSCR1/BECN1/POLDIP2/WASHC5/TPR/SYCE1L/BCCIP/STAG1/NSMCE2/MISP/GOLGA2/CHAMP1/AKAP8L/MAP3K20/CDC16/DUSP1/TNKS/ARID1B/TUBG2/CLASP2/SMARCA2/USP9X/CENPX/CEP63/SMARCE1/MAPRE2/MAU2/MSH5/DYNC1LI1/SMARCD3/SYCP2/MTCL2/ANAPC7/ARHGEF10/TEX14/MAP9",212
